seller,name,price,link
Mediamarkt,SAMSUNG Galaxy Z Fold 4 256GB Akıllı Telefon Yeşil,41999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-fold-4-256gb-ak%C4%B1ll%C4%B1-telefon-ye%C5%9Fil-1222820.html
Mediamarkt,SAMSUNG Galaxy S22 Ultra 256GB Akıllı Telefon Green,35999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-ultra-256gb-ak%C4%B1ll%C4%B1-telefon-green-1220208.html
Mediamarkt,SAMSUNG Galaxy A32 128 GB Akıllı Telefon Mavi,8499,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-a32-128-gb-ak%C4%B1ll%C4%B1-telefon-mavi-1215477.html
Mediamarkt,HUAWEI Nova 9 SE 128GB Akıllı Telefon Siyah,8999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-9-se-128gb-ak%C4%B1ll%C4%B1-telefon-siyah-1220555.html
Mediamarkt,CASPER Via E30 Plus 128GB Akıllı Telefon Siyah,4399,https://www.mediamarkt.com.tr/tr/product/_casper-via-e30-plus-128gb-ak%C4%B1ll%C4%B1-telefon-siyah-1222789.html
Mediamarkt,SAMSUNG Galaxy S22 Ultra 256GB Akıllı Telefon Burgundy,35999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-ultra-256gb-ak%C4%B1ll%C4%B1-telefon-burgundy-1220207.html
Mediamarkt,APPLE iPhone 12 256GB Akıllı Telefon Mavi,26499,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-12-256gb-ak%C4%B1ll%C4%B1-telefon-mavi-1212820.html
Mediamarkt,XIAOMI Redmi Note 11 Pro Plus 128GB Akıllı Telefon Mavi,13499,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-note-11-pro-plus-128gb-ak%C4%B1ll%C4%B1-telefon-mavi-1221462.html
Mediamarkt,HUAWEI Nova 9 SE 128GB Akıllı Telefon Mavi,8999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-9-se-128gb-ak%C4%B1ll%C4%B1-telefon-mavi-1220556.html
Mediamarkt,CASPER Via E30 Plus 128GB Akıllı Telefon Beyaz,4399,https://www.mediamarkt.com.tr/tr/product/_casper-via-e30-plus-128gb-ak%C4%B1ll%C4%B1-telefon-beyaz-1222791.html
Mediamarkt,TECNO Camon 19 Pro 128GB Akıllı Telefon Siyah,8999,https://www.mediamarkt.com.tr/tr/product/_tecno-camon-19-pro-128gb-ak%C4%B1ll%C4%B1-telefon-siyah-1225267.html
Mediamarkt,VIVO Y35 256 GB Akıllı Telefon Yıldızlı Mavi,9499,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-y35-256-gb-ak%C4%B1ll%C4%B1-telefon-y%C4%B1ld%C4%B1zl%C4%B1-mavi-1225039.html
Mediamarkt,HUAWEI Nova 10 128 GB Akıllı Telefon Yıldızlı Gümüş,14999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-10-128-gb-ak%C4%B1ll%C4%B1-telefon-y%C4%B1ld%C4%B1zl%C4%B1-g%C3%BCm%C3%BC%C5%9F-1223921.html
Mediamarkt,TECNO Spark 8T 64 GB Akıllı Telefon Atlantik Mavi,4199,https://www.mediamarkt.com.tr/tr/product/_tecno-spark-8t-64-gb-ak%C4%B1ll%C4%B1-telefon-atlantik-mavi-1221881.html
Mediamarkt,XIAOMI Poco X4 Pro 8GB/256GB Akıllı Telefon Mavi,14799,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-poco-x4-pro-8gb-256gb-ak%C4%B1ll%C4%B1-telefon-mavi-1220967.html
Mediamarkt,VIVO V21E 128 GB Akıllı Telefon Mavi,10999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-v21e-128-gb-ak%C4%B1ll%C4%B1-telefon-mavi-1216861.html
Mediamarkt,APPLE iPhone 13 512 GB Akıllı Telefon  Kırmızı MLQF3TU/A,31999,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-13-512-gb-ak%C4%B1ll%C4%B1-telefon-k%C4%B1rm%C4%B1z%C4%B1-mlqf3tu-a-1217622.html
Mediamarkt,TECNO Camon 19 Neo 128GB Akıllı Telefon Siyah,6799,https://www.mediamarkt.com.tr/tr/product/_tecno-camon-19-neo-128gb-ak%C4%B1ll%C4%B1-telefon-siyah-1225027.html
Mediamarkt,SAMSUNG Galaxy S20 FE 128GB Akıllı Telefon Navy,11999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s20-fe-128gb-ak%C4%B1ll%C4%B1-telefon-navy-1215941.html
Mediamarkt,VIVO V25 256GB Akıllı Telefon Elmas Siyahı,13999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-v25-256gb-ak%C4%B1ll%C4%B1-telefon-elmas-siyah%C4%B1-1225224.html
Mediamarkt,VIVO Y35 256 GB Akıllı Telefon Gün Doğumu,9499,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-y35-256-gb-ak%C4%B1ll%C4%B1-telefon-g%C3%BCn-do%C4%9Fumu-1225038.html
Mediamarkt,OPPO A96 128GB Akıllı Telefon Işıltılı Siyah,8999,https://www.mediamarkt.com.tr/tr/product/_oppo-a96-128gb-ak%C4%B1ll%C4%B1-telefon-%C4%B1%C5%9F%C4%B1lt%C4%B1l%C4%B1-siyah-1222568.html
Mediamarkt,TECNO Camon 19 Pro 128GB Akıllı Telefon Kutup Mavisi,8999,https://www.mediamarkt.com.tr/tr/product/_tecno-camon-19-pro-128gb-ak%C4%B1ll%C4%B1-telefon-kutup-mavisi-1225266.html
Mediamarkt,TCL 20 E 32 GB Akıllı Telefon Yeşil,3499,https://www.mediamarkt.com.tr/tr/product/_tcl-20-e-32-gb-ak%C4%B1ll%C4%B1-telefon-ye%C5%9Fil-1217713.html
Mediamarkt,APPLE iPhone SE 2022 64GB Akıllı Telefon Kırmızı,16999,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-se-2022-64gb-ak%C4%B1ll%C4%B1-telefon-k%C4%B1rm%C4%B1z%C4%B1-1220705.html
Mediamarkt,SAMSUNG Galaxy Z FOLD3 5G 256GB Akıllı Telefon Yeşil,31999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-fold3-5g-256gb-ak%C4%B1ll%C4%B1-telefon-ye%C5%9Fil-1217080.html
Mediamarkt,VIVO V25 256GB Akıllı Telefon Gün Doğumu Işıltısı,13999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-v25-256gb-ak%C4%B1ll%C4%B1-telefon-g%C3%BCn-do%C4%9Fumu-%C4%B1%C5%9F%C4%B1lt%C4%B1s%C4%B1-1225226.html
Mediamarkt,SAMSUNG Galaxy Z Fold 4 256GB Akıllı Telefon Bej,41999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-fold-4-256gb-ak%C4%B1ll%C4%B1-telefon-bej-1222821.html
Mediamarkt,TECNO Camon 19 Neo 128GB Akıllı Telefon Buz Mavisi,6799,https://www.mediamarkt.com.tr/tr/product/_tecno-camon-19-neo-128gb-ak%C4%B1ll%C4%B1-telefon-buz-mavisi-1225043.html
Mediamarkt,OPPO A96 128GB Akıllı Telefon Günbatımı Mavisi,8999,https://www.mediamarkt.com.tr/tr/product/_oppo-a96-128gb-ak%C4%B1ll%C4%B1-telefon-g%C3%BCnbat%C4%B1m%C4%B1-mavisi-1222542.html
Mediamarkt,SAMSUNG Galaxy S20 FE 128GB Akıllı Telefon Beyaz,11999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s20-fe-128gb-ak%C4%B1ll%C4%B1-telefon-beyaz-1216360.html
Mediamarkt,REALME GT NEO2 256GB Akıllı Telefon Siyah,15999,https://www.mediamarkt.com.tr/tr/product/_realme-gt-neo2-256gb-ak%C4%B1ll%C4%B1-telefon-siyah-1221400.html
Mediamarkt,VIVO V21E 128 GB Akıllı Telefon Siyah,10999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-v21e-128-gb-ak%C4%B1ll%C4%B1-telefon-siyah-1216860.html
Mediamarkt,VIVO Y22S 128GB Akıllı Telefon Yaz Esintisi,7999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-y22s-128gb-ak%C4%B1ll%C4%B1-telefon-yaz-esintisi-1225037.html
Mediamarkt,TECNO Spark 9 Pro 128 GB Akıllı Telefon Buz Beyazı,5799,https://www.mediamarkt.com.tr/tr/product/_tecno-spark-9-pro-128-gb-ak%C4%B1ll%C4%B1-telefon-buz-beyaz%C4%B1-1224064.html
Mediamarkt,VIVO Y15S 32GB Akıllı Telefon Mistik Mavi,3699,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-y15s-32gb-ak%C4%B1ll%C4%B1-telefon-mistik-mavi-1220296.html
Mediamarkt,XIAOMI Redmi Note 11 128GB Akıllı Telefon Gri,7999,https://www.mediamarkt.com.tr/tr/product/_x%C4%B1aom%C4%B1-redmi-note-11-128gb-ak%C4%B1ll%C4%B1-telefon-gri-1221494.html
Mediamarkt,TECNO Pova Neo 128 GB Obsidyen Siyah,4999,https://www.mediamarkt.com.tr/tr/product/_tecno-pova-neo-128-gb-obsidyen-siyah-1221878.html
Mediamarkt,VIVO Y16 64GB Akıllı Telefon Yıldızlı Gece Siyahı,4999,https://www.mediamarkt.com.tr/tr/product/_v%C4%B1vo-y16-64gb-ak%C4%B1ll%C4%B1-telefon-y%C4%B1ld%C4%B1zl%C4%B1-gece-siyah%C4%B1-1225035.html
Mediamarkt,APPLE iPhone 13 512 GB Akıllı Telefon Pembe MLQE3TU/A,31999,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-13-512-gb-ak%C4%B1ll%C4%B1-telefon-pembe-mlqe3tu-a-1217621.html
Mediamarkt,SAMSUNG Galaxy Z Flip 4 128GB Akıllı Telefon Pembe,27999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-z-flip-4-128gb-ak%C4%B1ll%C4%B1-telefon-pembe-1222823.html
Mediamarkt,TECNO Spark 9T 128GB Akıllı Telefon Siyah,4999,https://www.mediamarkt.com.tr/tr/product/_tecno-spark-9t-128gb-ak%C4%B1ll%C4%B1-telefon-siyah-1224063.html
Mediamarkt,SAMSUNG Galaxy S22+ 256GB Akıllı Telefon Pink Gold,29999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s22-256gb-ak%C4%B1ll%C4%B1-telefon-pink-gold-1220200.html
Mediamarkt,TECNO Spark 9 Pro 128 GB Akıllı Telefon Siyah,5799,https://www.mediamarkt.com.tr/tr/product/_tecno-spark-9-pro-128-gb-ak%C4%B1ll%C4%B1-telefon-siyah-1224065.html
Mediamarkt,HUAWEI Nova 10 128 GB Akıllı Telefon Yıldızlı Siyah,14999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-10-128-gb-ak%C4%B1ll%C4%B1-telefon-y%C4%B1ld%C4%B1zl%C4%B1-siyah-1223920.html
Mediamarkt,APPLE iPhone 13 Mini 512GB Akıllı Telefon Yeşil,32899,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-13-mini-512gb-ak%C4%B1ll%C4%B1-telefon-ye%C5%9Fil-1220696.html
Mediamarkt,REALME C25Y 128GB Akıllı Telefon Buzul Mavisi,4899,https://www.mediamarkt.com.tr/tr/product/_realme-c25y-128gb-ak%C4%B1ll%C4%B1-telefon-buzul-mavisi-1220157.html
Mediamarkt,SAMSUNG Galaxy S20 FE 128GB Akıllı Telefon Lavanta,11999,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s20-fe-128gb-ak%C4%B1ll%C4%B1-telefon-lavanta-1215896.html
Mediamarkt,APPLE iPhone 14 Plus 512GB Akıllı Telefon Starlight MQ5D3TU/A,42899,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-plus-512gb-ak%C4%B1ll%C4%B1-telefon-starlight-mq5d3tu-a-1223382.html
Mediamarkt,APPLE iPhone 14 512GB Akıllı Telefon Starlight MPX33TU/A,38899,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-512gb-ak%C4%B1ll%C4%B1-telefon-starlight-mpx33tu-a-1223367.html
Mediamarkt,HUAWEI Nova 10 SE 128 GB Akıllı Telefon Yıldızlı Gümüş,12499,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-nova-10-se-128-gb-ak%C4%B1ll%C4%B1-telefon-y%C4%B1ld%C4%B1zl%C4%B1-g%C3%BCm%C3%BC%C5%9F-1224829.html
Mediamarkt,TCL 30 SE 64GB Akıllı Telefon Mavi,5699,https://www.mediamarkt.com.tr/tr/product/_tcl-30-se-64gb-ak%C4%B1ll%C4%B1-telefon-mavi-1221960.html
Mediamarkt,HUAWEI Mate 50 Pro 256GB Akıllı Telefon Siyah,32999,https://www.mediamarkt.com.tr/tr/product/_huawe%C4%B1-mate-50-pro-256gb-ak%C4%B1ll%C4%B1-telefon-siyah-1224824.html
Mediamarkt,CASPER VIA F30 Plus 128 GB Akıllı Telefon Platin Gri,5999,https://www.mediamarkt.com.tr/tr/product/_casper-v%C4%B1a-f30-plus-128-gb-ak%C4%B1ll%C4%B1-telefon-platin-gri-1225041.html
Mediamarkt,TECNO Pova Neo 2 128GB Akıllı Telefon Mavi,6499,https://www.mediamarkt.com.tr/tr/product/_tecno-pova-neo-2-128gb-ak%C4%B1ll%C4%B1-telefon-mavi-1225589.html
Mediamarkt,TCL 30 SE 64GB Akıllı Telefon Gri,5699,https://www.mediamarkt.com.tr/tr/product/_tcl-30-se-64gb-ak%C4%B1ll%C4%B1-telefon-gri-1221964.html
